Card Name,Fair Value,Trend,Top 3 Prices,Median (All),Min,Max,Num Sales
2024 Upper Deck PWHL 1st Edition - [Base] #52 - Young Guns - Grace Zumwinkle,$16.51,up,$8.45 | $16.39 | $16.51,$12.49,$4.57,$26.13,12
2024-25 Upper Deck Series 2 - [Base] - Deluxe #493 - Young Guns - Brandon Bussi #199/250,$38.34,up,$38.34 | $25.84 | $25.71,$25.84,$15.95,$38.34,5
2024 Upper Deck PWHL 1st Edition - [Base] #67 - Young Guns - Gabbie Hughes,$16.07,up,$8.45 | $6.5 | $16.07,$12.84,$3.91,$22.42,12
2024 Upper Deck PWHL 1st Edition - [Base] - Exclusives #7 - Maddie Rooney #72/100,$39.47,no data,$39.47,$39.47,$39.47,$39.47,1
2023-24 Upper Deck Parkhurst - Prominent Prospects #PP-CB - Connor Bedard [Passed Pre‑Grade Review],$16.81,stable,$17.22 | $16.81 | $16.8,$16.81,$16.36,$17.22,5
2023-24 SPx - Signature Fabrics - Spectrum Patch #SF-JT - John Tavares #2/5,$5.00,no data,,$5.00,$5.00,$5.00,0
"2024-25 4 Nations Face-Off - Game Dated Moments - Silver #20 - (Feb. 20, 2025) - McDavid Scores in Overtime, Lifts Canada to Win Over U.S. in the 4 Nations Face-Off™ Championship Game",$5.00,no data,,$5.00,$5.00,$5.00,0
"2024-25 4 Nations Face-Off - Game Dated Moments - Silver #2 - (Feb. 12, 2025) - Crosby Dishes out Three Assists as Canada Tops Sweden at the 4 Nations Face-Off™",$5.00,no data,,$5.00,$5.00,$5.00,0
2024 Upper Deck PWHL 1st Edition - [Base] - Exclusives #31 - Samantha Cogan #43/100,$2.42,down,$3.3 | $2.42 | $2.76,$3.50,$2.42,$5.87,7
2024-25 Upper Deck Extended Series - UD Canvas #C369 - Young Guns - Lian Bichsel,$2.93,down,$2.93 | $6.21 | $6.5,$6.21,$2.93,$14.19,5
