Card Name,Fair Value,Confidence,Num Sales,Top 3 Prices,Min,Max,Median
2025-26 Upper Deck Series 1 - [Base] #248 - Young Guns - Sam Rinzel,$16.78,high,190,$16.04 | $16.78 | $5.82,$3.39,$26.32,
"2025 Topps Chrome Sapphire Edition Spongebob Squarepants 25th Anniversary - [Base] #89 - ""I Need It!""",$11.46,low,85,$11.46 | $24.7 | $20.2,$10.38,$49.77,
2024 Upper Deck PWHL 1st Edition - [Base] - Deluxe #59 - Young Guns - Emma Maltais [PSA 9 MINT] #48/250,$99.0,low,1,$99.0,$99.0,$99.0,
2024 Upper Deck PWHL 1st Edition - UD Portraits - Gold #P-2 - Marie-Philip Poulin [PSA 10 GEM MT] #82/299,$106.03,low,1,$106.03,$106.03,$106.03,
2024 Upper Deck PWHL 1st Edition - [Base] #61 - Young Guns - Taylor Heise [PSA 8 NM‑MT],$58.0,medium,2,$58.0 | $74.1,$58.0,$74.1,
2024-25 Upper Deck Series 1 - [Base] #244 - Young Guns - Logan Stankoven,$4.24,high,82,$4.11 | $4.24 | $8.0,$3.25,$16.08,
"2025 Topps Chrome Sapphire Edition Spongebob Squarepants 25th Anniversary - [Base] #67 - ""No This is Patrick""",$11.67,low,78,$31.07 | $10.53 | $11.67,$9.71,$39.31,
2023-24 O-Pee-Chee Platinum - Photo Driven - Red Pixel #PD-6 - Auston Matthews [PSA 10 GEM MT] #75/85,$100.00,manual,0,,$5.0,$5.0,
2023-24 SPx - [Base] - Purple Parallax #134 - Rookies - Matthew Knies [PSA 9 MINT] #85/149,$50.00,manual,0,,$5.0,$5.0,
2024-25 Upper Deck Series 2 - [Base] #492 - Young Guns - Matvei Michkov [PSA 7 NM],$38.7,high,2,$38.7 | $36.46,$36.46,$38.7,
2025-26 Upper Deck Series 1 - Bootlegs #BL-18 - Artyom Levshunov,$187.91,high,1,$187.91,$187.91,$187.91,
2024-25 O-Pee-Chee Platinum - Rookie Autographs - Red Prism #R-LB - Lian Bichsel #21/30,$59.49,low,1,$59.49,$59.49,$59.49,
2024-25 Upper Deck Series 2 - Young Guns Renewed #201.3 - Connor McDavid [PSA 9 MINT],$50.00,manual,0,,$5.0,$5.0,
2024-25 Upper Deck Series 2 - UD Canvas #C161 - Joseph Woll [PSA 10 GEM MT],$50.00,manual,0,,$5.0,$5.0,
2024-25 Upper Deck Series 2 - [Base] #451 - Young Guns - Macklin Celebrini [PSA 8 NM‑MT],$368.0,high,49,$329.73 | $319.48 | $368.0,$165.5,$431.31,
2021 Bowman Chrome - [Base] - Blue Refractor #49 - Alejandro Kirk [PSA 9 MINT] #113/150,$50.00,manual,0,,$5.0,$5.0,
2025-26 Upper Deck Series 1 - [Base] - Deluxe #236 - Young Guns - Zayne Parekh #106/250,$196.18,high,9,$184.56 | $196.18 | $142.88,$65.87,$196.18,
2023-24 O-Pee-Chee Platinum - [Base] - Pond Hockey Variants #205 - Marquee Rookies - Matthew Knies,$105.14,high,3,$67.62 | $105.14 | $50.85,$50.85,$105.14,
2024-25 SPx - [Base] #166 - Rookie Holograms - Macklin Celebrini [PSA 8 NM‑MT],$200.00,manual,0,,$5.0,$5.0,
